"Country
",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Botswana,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7235.11,7257.119,7270.813,7627.203,7950.513,8390.696,8827.721,9303.424
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3772.05,3177.94,2856.026,3089.141,3660.02,4819.872,5921.179,7390.653,8878.359,8649.578,11333.023,13295.899,12424.946,12358.342,12175.683,8846.476,8757.304,9978.09,9194.148,8914.171,6970.719,7754.611,8995.029,9673.093,10217.933,10676.186,11202.211,11658.208,12124.12
Brunei Darussalam,no data,no data,no data,no data,no data,21770.731,14544.375,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42599.014,31288.515,35437.281,47097.481,47772.194,44860.428,41947.16,31355.736,27318.052,28442.471,31075.782,29866.595,27173.977,31788.959,37667.277,35103.689,35998.733,37362.5,38410.308,39901.627,41124.449
Bulgaria,3673.235,3950.229,4108.111,4211.107,4465.379,3820.536,3382.438,3926.053,6433.109,6580.664,2919.823,288.506,1183.155,649.649,1155.796,1958.07,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5815.474,7161.75,6878.061,6753.335,7872.043,7454.003,7702.783,7925.691,7098.587,7596.464,8414.389,9489.657,9914.386,10170.723,12300.185,13109.206,14893.185,15769.791,16654.71,17523.263,18431.404,19281.836
Burkina Faso,338.66,287.809,261.617,233.14,203.12,218.83,279.032,315.981,339.602,330.706,381.987,376.497,393.316,365.7,214.467,258.491,273.892,252.618,281.638,294.179,249.913,260.445,286.551,363.727,405.267,443.189,457.366,516.812,621.822,603.221,627.783,727.484,734.438,762.316,767.569,632.191,664.926,714.64,779.509,772.229,833.782,891.782,859.504,900.485,941.082,985.192,1025.098,1064.691,1099.998
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,309.112,249.222,250.002,281.924,307.618,336.121,363.409
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,1935.48,2188.003,2298.396,2571.824,3110.447,3636.128,3416.224,3312.035,3672.583,3388.875,3557.871,3532.994,2996.362,3082.157,3239.066,3963.62,3947.491,3359.764,3748.98,3900.539,4278.297,4515.735,4669.076,4794.889,4872.221,4918.464
Cambodia,no data,no data,no data,no data,no data,no data,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,1034.768,1123.131,1203.435,1320.282,1448.02,1587.935,1736.317,1643.758,1679.921,1784.786,1896.126,2018.696,2156.256,2308.244,2463.237,2630.453
Cameroon,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1667.318,1566.245,1699.684,1794.43,1836.538,1857.598,1869.929,1870.061
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46449.962,43383.713,52387.812,55085.452,52722.484,54233.872,56046.753,57888.097,59762.031,61748.65
